country,latitude,longitude,postcode,countryCodeAlpha2,countryCodeAlpha3
USA,14.3824,-87.6212,34042,US,USA
USA,8.95,-79.5833,34061,US,USA
USA,33.1592,129.7228,96322,US,USA
USA,35.7485,139.3485,96323,US,USA
USA,35.4333,139.65,96347,US,USA
USA,-6.2146,106.8451,96520,US,USA
USA,31.6948,-106.3,79923,US,USA
USA,31.6948,-106.3,79931,US,USA
USA,31.6948,-106.3,79961,US,USA
USA,31.6948,-106.3,79996,US,USA
USA,31.6948,-106.3,88514,US,USA
USA,31.6948,-106.3,88544,US,USA
USA,31.6948,-106.3,88554,US,USA
USA,31.6948,-106.3,88556,US,USA
USA,29.5116,-95.0582,77574,US,USA
USA,29.3305,-94.8002,77592,US,USA
USA,29.6118,-97.9712,78156,US,USA
USA,29.834,-95.4342,77265,US,USA
USA,31.5536,-97.2032,76716,US,USA
USA,30.6285,-94.6319,77332,US,USA
USA,36.5055,-101.7829,73960,US,USA
USA,30.7235,-95.5508,77349,US,USA
USA,40.6681,-111.9083,84171,US,USA
USA,37.5529,-75.878,23345,US,USA
USA,37.538,-78.9463,24533,US,USA
USA,38.8318,-77.2888,20192,US,USA
USA,38.5059,-77.5956,22739,US,USA
USA,38.386,-79.5592,24468,US,USA
USA,38.2115,-77.1394,22481,US,USA
USA,37.7301,-76.538,22517,US,USA
USA,39.1157,-77.5636,20177,US,USA
USA,61.1515,-149.9443,99529,US,USA
USA,64.8746,-146.8982,99716,US,USA
USA,60.7007,-151.2766,99635,US,USA
USA,55.3954,-131.6754,99928,US,USA
USA,31.8488,-86.2077,36062,US,USA
USA,33.5446,-86.9292,35220,US,USA
USA,33.5207,-86.8025,35246,US,USA
USA,30.6944,-88.0431,36652,US,USA
USA,32.2334,-86.2085,36118,US,USA
USA,32.2334,-86.2085,36131,US,USA
USA,32.2334,-86.2085,36177,US,USA
USA,34.5814,-93.0994,71902,US,USA
USA,34.4291,-92.0599,72182,US,USA
USA,34.5372,-94.0972,71932,US,USA
USA,34.7519,-92.3925,72215,US,USA
USA,35.3859,-94.3985,72905,US,USA
USA,31.6687,-110.2801,85636,US,USA
USA,35.1981,-111.6513,86002,US,USA
USA,33.4484,-112.074,85005,US,USA
USA,33.4484,-112.074,85010,US,USA
USA,33.4484,-112.074,85063,US,USA
USA,33.4663,-111.8373,85211,US,USA
USA,33.4125,-111.8319,85277,US,USA
USA,33.5387,-112.186,85311,US,USA
USA,32.5056,-110.9211,85738,US,USA
USA,39.6197,-122.1927,95913,US,USA
USA,36.1389,-119.8947,93246,US,USA
USA,40.4163,-120.653,96127,US,USA
USA,34.0522,-118.2437,90087,US,USA
USA,33.7866,-118.2987,90295,US,USA
USA,33.9617,-118.3531,90312,US,USA
USA,34.2247,-118.4498,91412,US,USA
USA,34.1867,-118.449,91496,US,USA
USA,33.7866,-118.2987,91610,US,USA
USA,33.5269,-117.7117,92607,US,USA
USA,33.624,-117.6908,92609,US,USA
USA,33.7188,-117.8546,92735,US,USA
USA,33.6736,-116.2951,92247,US,USA
USA,38.5816,-121.4944,94234,US,USA
USA,34.0483,-117.2309,92318,US,USA
USA,35.4703,-115.545,92366,US,USA
USA,32.8473,-117.2742,92092,US,USA
USA,32.7153,-117.1573,92175,US,USA
USA,34.953,-120.4357,93457,US,USA
USA,39.144,-77.2076,20875,US,USA
USA,39.144,-77.2076,20894,US,USA
USA,38.8336,-76.8777,20697,US,USA
USA,39.2847,-76.6205,21203,US,USA
USA,44.358,-70.2558,04266,US,USA
USA,46.755,-68.0964,04738,US,USA
USA,43.002,-83.6925,48531,US,USA
USA,46.0797,-88.629,49964,US,USA
USA,42.9097,-85.7631,49468,US,USA
USA,43.0314,-85.5503,49560,US,USA
USA,42.471,-83.4748,48376,US,USA
USA,42.9072,-85.792,49429,US,USA
USA,43.4195,-83.9508,48663,US,USA
USA,42.8241,-82.6652,48004,US,USA
USA,42.3314,-83.0458,48255,US,USA
USA,44.8055,-93.7665,55558,US,USA
USA,45.5134,-92.8942,55002,US,USA
USA,44.98,-93.2638,55440,US,USA
USA,48.9975,-97.2045,56740,US,USA
USA,38.9033,-92.1022,65299,US,USA
USA,39.2829,-94.409,64144,US,USA
USA,39.0997,-94.5786,64184,US,USA
USA,36.1909,-89.8829,63840,US,USA
USA,37.6754,-90.3677,63651,US,USA
USA,38.6631,-90.5771,63006,US,USA
USA,36.987,-91.5754,65546,US,USA
USA,37.1196,-90.445,63950,US,USA
USA,30.4032,-89.4982,39522,US,USA
USA,30.4158,-89.0684,39505,US,USA
USA,32.2988,-90.1848,39282,US,USA
USA,32.2988,-90.1848,39286,US,USA
USA,32.2988,-90.1848,39296,US,USA
USA,32.864,-89.6695,39171,US,USA
USA,35.6605,-80.2836,27351,US,USA
USA,35.997,-78.9422,27706,US,USA
USA,36.0512,-78.8577,27710,US,USA
USA,35.2927,-82.5036,28793,US,USA
USA,35.9085,-80.8073,28688,US,USA
USA,35.5907,-78.3607,27593,US,USA
USA,35.1823,-83.3815,28744,US,USA
USA,35.26,-80.8042,28287,US,USA
USA,35.2252,-80.8458,28296,US,USA
USA,35.7587,-78.6711,27602,US,USA
USA,35.7977,-78.6253,27626,US,USA
USA,35.7977,-78.6253,27640,US,USA
USA,35.7977,-78.6253,27675,US,USA
USA,46.8083,-100.7837,58507,US,USA
USA,43.4964,-71.5197,03289,US,USA
USA,40.7918,-74.2452,07051,US,USA
USA,40.3492,-74.6528,08544,US,USA
USA,40.3027,-74.2493,07799,US,USA
USA,35.0443,-106.6729,87184,US,USA
USA,42.4451,-76.4672,14852,US,USA
USA,41.9046,-80.685,44068,US,USA
USA,39.162,-84.4569,45275,US,USA
USA,39.1668,-84.5382,45258,US,USA
USA,39.162,-84.4569,45280,US,USA
USA,40.5071,-81.7829,44617,US,USA
USA,40.04,-84.2298,45374,US,USA
USA,40.8746,-81.1739,44650,US,USA
USA,41.1287,-81.54,44237,US,USA
USA,41.0962,-81.5123,44309,US,USA
USA,41.1287,-81.54,44396,US,USA
USA,35.5514,-97.4075,73153,US,USA
USA,35.5514,-97.4075,73163,US,USA
USA,44.5646,-123.262,97339,US,USA
USA,45.5235,-122.6762,97269,US,USA
USA,44.9901,-123.0262,97307,US,USA
USA,40.4344,-80.0248,15272,US,USA
USA,40.4344,-80.0248,15276,US,USA
USA,41.2226,-79.6339,16375,US,USA
USA,40.2697,-76.936,17089,US,USA
USA,41.2722,-75.8801,18767,US,USA
USA,40.2119,-75.3559,19407,US,USA
USA,40.0018,-75.1179,19194,US,USA
USA,41.8117,-79.2643,16368,US,USA
USA,39.8144,-76.9837,17335,US,USA
